MESO,SUM of habitantes,QUANT
AGRESTE ALAGOANO,"626,576",626.576
AGRESTE PARAIBANO,"1,217,956",1217.956
AGRESTE PERNAMBUCANO,"2,235,821",2235.821
AGRESTE POTIGUAR,"429,786",429.786
AGRESTE SERGIPANO,"449,405",449.405
ARACATUBA,"700,425",700.425
ARARAQUARA,"817,956",817.956
ASSIS,"556,560",556.56
BAIXADAS,"719,150",719.15
BAIXO AMAZONAS,"743,963",743.963
BAURU,"1,465,204",1465.204
BORBOREMA,"299,887",299.887
CAMPINAS,"3,825,072",3825.072
CAMPO DAS VERTENTES,"557,638",557.638
CENTRAL ESPIRITO-SANTENSE,"2,007,684",2007.684
CENTRAL MINEIRA,"415,148",415.148
CENTRAL POTIGUAR,"383,512",383.512
CENTRO AMAZONENSE,"2,769,833",2769.833
CENTRO FLUMINENSE,"483,575",483.575
CENTRO GOIANO,"3,096,796",3096.796
CENTRO MARANHENSE,"920,693",920.693
CENTRO NORTE BAIANO,"2,236,583",2236.583
CENTRO NORTE DE MATO GROSSO DO SUL,"1,003,529",1003.529
CENTRO OCIDENTAL PARANAENSE,"333,161",333.161
CENTRO OCIDENTAL RIO-GRANDENSE,"537,708",537.708
CENTRO ORIENTAL PARANAENSE,"694,338",694.338
CENTRO ORIENTAL RIO-GRANDENSE,"782,351",782.351
CENTRO SUL BAIANO,"2,483,717",2483.717
CENTRO-NORTE PIAUIENSE,"1,464,941",1464.941
CENTRO-SUL CEARENSE,"377,685",377.685
CENTRO-SUL MATO-GROSSENSE,"1,056,343",1056.343
CENTRO-SUL PARANAENSE,"544,987",544.987
DISTRITO FEDERAL,"2,609,997",2609.997
EXTREMO OESTE BAIANO,"585,658",585.658
GRANDE FLORIANOPOLIS,"1,008,751",1008.751
ITAPETININGA,"830,263",830.263
JAGUARIBE,"531,613",531.613
JEQUITINHONHA,"700,990",700.99
LESTE ALAGOANO,"2,082,456",2082.456
LESTE DE MATO GROSSO DO SUL,"386,343",386.343
LESTE GOIANO,"1,179,106",1179.106
LESTE MARANHENSE,"1,349,084",1349.084
LESTE POTIGUAR,"1,551,652",1551.652
LESTE RONDONIENSE,"954,039",954.039
LESTE SERGIPANO,"1,413,514",1413.514
LITORAL NORTE ESPIRITO-SANTENSE,"555,708",555.708
LITORAL SUL PAULISTA,"465,315",465.315
MACRO METROPOLITANA PAULISTA,"2,674,755",2674.755
MADEIRA-GUAPORE,"622,384",622.384
MARAJO,"495,287",495.287
MARILIA,"441,742",441.742
MATA PARAIBANA,"1,406,792",1406.792
MATA PERNAMBUCANA,"1,318,482",1318.482
METROPOLITANA DE BELEM,"2,464,333",2464.333
METROPOLITANA DE BELO HORIZONTE,"6,285,871",6285.871
METROPOLITANA DE CURITIBA,"3,527,547",3527.547
METROPOLITANA DE FORTALEZA,"3,509,413",3509.413
METROPOLITANA DE PORTO ALEGRE,"4,768,286",4768.286
METROPOLITANA DE RECIFE,"3,720,314",3720.314
METROPOLITANA DE SALVADOR,"4,248,433",4248.433
METROPOLITANA DE SAO PAULO,"21,305,308",21305.308
METROPOLITANA DO RIO DE JANEIRO,"12,657,734",12657.734
NORDESTE BAIANO,"1,552,314",1552.314
